,accuracy,precision,recall,f1
Baseline,91.44385026737967,0.9365757082567125,0.9144385026737968,0.9185963929101035
Simple_dense,83.9572192513369,0.8577057016342443,0.839572192513369,0.8437379192597407
Conv1D,96.2566844919786,0.9637974108562344,0.9625668449197861,0.9626617776171047
LSTM,85.56149732620321,0.8696357958021244,0.8556149732620321,0.8517898964785698
GRU,63.63636363636363,0.6846320542504717,0.6363636363636364,0.6454623042856173
Bidirectional,73.2620320855615,0.7324292594470434,0.732620320855615,0.7315396529218476
